timeStamp,elapsed,label,responseCode,reponseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.61E+12,1096,Login page-1,200,OK,Users 1-46,text,TRUE,,38785,134,5,5,https://qa.cilsy.id/symfony/web/index.php,1094,0,655
1.61E+12,1165,Login page,200,OK,Users 1-48,text,TRUE,,39366,268,5,5,https://qa.cilsy.id/symfony/web/index.php,8,0,4
1.61E+12,8,Login page-0,301,Moved Permanently,Users 1-48,text,TRUE,,581,134,5,5,http://qa.cilsy.id/symfony/web/index.php,8,0,4
1.61E+12,1156,Login page-1,200,OK,Users 1-48,text,TRUE,,38785,134,5,5,https://qa.cilsy.id/symfony/web/index.php,1153,0,699
1.61E+12,238,"Admin, General Information",200,OK,Users 1-46,text,TRUE,,39447,350,5,5,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,4,0,0
1.61E+12,4,"Admin, General Information-0",301,Moved Permanently,Users 1-46,text,TRUE,,663,175,5,5,http://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,4,0,0
1.61E+12,233,"Admin, General Information-1",200,OK,Users 1-46,text,TRUE,,38784,175,5,5,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,228,0,0
1.61E+12,250,"Admin, General Information",200,OK,Users 1-48,text,TRUE,,39447,350,5,5,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,7,0,0
1.61E+12,7,"Admin, General Information-0",301,Moved Permanently,Users 1-48,text,TRUE,,663,175,5,5,http://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,7,0,0
1.61E+12,243,"Admin, General Information-1",200,OK,Users 1-48,text,TRUE,,38784,175,5,5,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,238,0,0
1.61E+12,239,"Attendance, Employee Record",200,OK,Users 1-46,text,TRUE,,39429,332,6,6,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,5,0,0
1.61E+12,5,"Attendance, Employee Record-0",301,Moved Permanently,Users 1-46,text,TRUE,,645,166,6,6,http://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,5,0,0
1.61E+12,234,"Attendance, Employee Record-1",200,OK,Users 1-46,text,TRUE,,38784,166,6,6,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,228,0,0
